game_id,date,venue,home_team,away_team,start_time,home_score,away_score,status
2020020001,2021-01-13,Wells Fargo Center,PHI,PIT,2021-01-13 22:30:00,6.0,3.0,OFF
2020020003,2021-01-13,Scotiabank Arena,TOR,MTL,2021-01-14 00:00:00,5.0,4.0,OFF
2020020002,2021-01-13,Amalie Arena,T.B,CHI,2021-01-14 01:00:00,5.0,1.0,OFF
2020020004,2021-01-13,Rogers Place,EDM,VAN,2021-01-14 03:00:00,3.0,5.0,OFF
2020020005,2021-01-13,Ball Arena,COL,STL,2021-01-14 03:30:00,1.0,4.0,OFF
2020020006,2021-01-14,KeyBank Center,BUF,WSH,2021-01-15 00:00:00,4.0,6.0,OFF
2020020007,2021-01-14,Prudential Center,N.J,BOS,2021-01-15 00:00:00,2.0,3.0,OFF
2020020008,2021-01-14,Madison Square Garden,NYR,NYI,2021-01-15 00:00:00,0.0,4.0,OFF
2020020010,2021-01-14,Little Caesars Arena,DET,CAR,2021-01-15 00:30:00,0.0,3.0,OFF
2020020011,2021-01-14,Bridgestone Arena,NSH,CBJ,2021-01-15 01:00:00,3.0,1.0,OFF
2020020012,2021-01-14,Bell MTS Place,WPG,CGY,2021-01-15 01:00:00,4.0,3.0,OFF
2020020013,2021-01-14,Rogers Place,EDM,VAN,2021-01-15 02:00:00,5.0,2.0,OFF
2020020014,2021-01-14,Gila River Arena,ARI,S.J,2021-01-15 02:00:00,3.0,4.0,OFF
2020020015,2021-01-14,T-Mobile Arena,VGK,ANA,2021-01-15 03:00:00,5.0,2.0,OFF
2020020016,2021-01-14,STAPLES Center,L.A,MIN,2021-01-15 03:00:00,3.0,4.0,OFF
2020020017,2021-01-15,KeyBank Center,BUF,WSH,2021-01-16 00:00:00,1.0,2.0,OFF
2020020018,2021-01-15,Wells Fargo Center,PHI,PIT,2021-01-16 00:00:00,5.0,2.0,OFF
2020020019,2021-01-15,Amalie Arena,T.B,CHI,2021-01-16 00:00:00,5.0,2.0,OFF
2020020021,2021-01-15,Canadian Tire Centre,OTT,TOR,2021-01-16 00:00:00,5.0,3.0,OFF
2020020022,2021-01-15,Ball Arena,COL,STL,2021-01-16 02:00:00,8.0,0.0,OFF
2020020023,2021-01-16,Prudential Center,N.J,BOS,2021-01-16 18:00:00,2.0,1.0,OFF
2020020030,2021-01-16,Gila River Arena,ARI,S.J,2021-01-16 21:00:00,5.0,3.0,OFF
2020020024,2021-01-16,Madison Square Garden,NYR,NYI,2021-01-17 00:00:00,5.0,0.0,OFF
2020020025,2021-01-16,Little Caesars Arena,DET,CAR,2021-01-17 00:00:00,4.0,2.0,OFF
2020020027,2021-01-16,Canadian Tire Centre,OTT,TOR,2021-01-17 00:00:00,2.0,3.0,OFF
2020020029,2021-01-16,Rogers Place,EDM,MTL,2021-01-17 00:00:00,1.0,5.0,OFF
2020020026,2021-01-16,Bridgestone Arena,NSH,CBJ,2021-01-17 01:00:00,5.0,2.0,OFF
2020020032,2021-01-16,STAPLES Center,L.A,MIN,2021-01-17 02:00:00,3.0,4.0,OFF
2020020028,2021-01-16,Scotiabank Saddledome,CGY,VAN,2021-01-17 03:00:00,3.0,0.0,OFF
2020020031,2021-01-16,T-Mobile Arena,VGK,ANA,2021-01-17 03:00:00,2.0,1.0,OFF
2020020035,2021-01-17,PPG Paints Arena,PIT,WSH,2021-01-17 17:00:00,4.0,3.0,OFF
2020020034,2021-01-17,BB&T Center,FLA,CHI,2021-01-18 00:00:00,5.0,2.0,OFF
2020020038,2021-01-18,Little Caesars Arena,DET,CBJ,2021-01-18 17:00:00,2.0,3.0,OFF
2020020036,2021-01-18,Nassau Veterans Memorial Coliseum,NYI,BOS,2021-01-18 22:00:00,1.0,0.0,OFF
2020020041,2021-01-18,Scotiabank Arena,TOR,WPG,2021-01-19 00:00:00,3.0,1.0,OFF
2020020037,2021-01-18,Wells Fargo Center,PHI,BUF,2021-01-19 00:30:00,1.0,6.0,OFF
2020020039,2021-01-18,Enterprise Center,STL,S.J,2021-01-19 01:00:00,5.0,4.0,OFF
2020020040,2021-01-18,Bridgestone Arena,NSH,CAR,2021-01-19 01:00:00,2.0,4.0,OFF
2020020042,2021-01-18,Scotiabank Saddledome,CGY,VAN,2021-01-19 02:00:00,5.0,2.0,OFF
2020020043,2021-01-18,Rogers Place,EDM,MTL,2021-01-19 02:00:00,1.0,3.0,OFF
2020020045,2021-01-18,Honda Center,ANA,MIN,2021-01-19 02:00:00,1.0,0.0,OFF
2020020044,2021-01-18,T-Mobile Arena,VGK,ARI,2021-01-19 03:00:00,4.0,2.0,OFF
2020020046,2021-01-19,Madison Square Garden,NYR,N.J,2021-01-20 00:00:00,3.0,4.0,OFF
2020020047,2021-01-19,Wells Fargo Center,PHI,BUF,2021-01-20 00:00:00,3.0,0.0,OFF
2020020049,2021-01-19,BB&T Center,FLA,CHI,2021-01-20 00:00:00,5.0,4.0,OFF
2020020050,2021-01-19,PPG Paints Arena,PIT,WSH,2021-01-20 00:00:00,5.0,4.0,OFF
2020020053,2021-01-19,Canadian Tire Centre,OTT,WPG,2021-01-20 00:00:00,3.0,4.0,OFF
2020020051,2021-01-19,Little Caesars Arena,DET,CBJ,2021-01-20 00:30:00,3.0,2.0,OFF
2020020054,2021-01-19,STAPLES Center,L.A,COL,2021-01-20 03:00:00,2.0,3.0,OFF
2020020056,2021-01-20,Scotiabank Arena,TOR,EDM,2021-01-21 00:00:00,1.0,3.0,OFF
2020020055,2021-01-20,Enterprise Center,STL,S.J,2021-01-21 02:00:00,1.0,2.0,OFF
2020020059,2021-01-20,Honda Center,ANA,MIN,2021-01-21 02:30:00,2.0,3.0,OFF
2020020057,2021-01-20,Rogers Arena,VAN,MTL,2021-01-21 03:00:00,6.0,5.0,OFF
2020020058,2021-01-20,T-Mobile Arena,VGK,ARI,2021-01-21 03:00:00,5.0,2.0,OFF
2020020060,2021-01-21,TD Garden,BOS,PHI,2021-01-22 00:00:00,5.0,4.0,OFF
2020020061,2021-01-21,Nassau Veterans Memorial Coliseum,NYI,N.J,2021-01-22 00:00:00,4.0,1.0,OFF
2020020063,2021-01-21,Nationwide Arena,CBJ,T.B,2021-01-22 00:00:00,2.0,3.0,OFF
2020020064,2021-01-21,Canadian Tire Centre,OTT,WPG,2021-01-22 00:00:00,1.0,4.0,OFF
2020020065,2021-01-21,Rogers Arena,VAN,MTL,2021-01-22 02:30:00,3.0,7.0,OFF
2020020066,2021-01-21,STAPLES Center,L.A,COL,2021-01-22 03:00:00,4.0,2.0,OFF
2020020067,2021-01-22,Capital One Arena,WSH,BUF,2021-01-23 00:00:00,4.0,3.0,OFF
2020020068,2021-01-22,PPG Paints Arena,PIT,NYR,2021-01-23 00:00:00,4.0,3.0,OFF
2020020070,2021-01-22,Scotiabank Arena,TOR,EDM,2021-01-23 00:00:00,4.0,2.0,OFF
2020020069,2021-01-22,United Center,CHI,DET,2021-01-23 01:00:00,4.0,1.0,OFF
2020020071,2021-01-22,Xcel Energy Center,MIN,S.J,2021-01-23 01:00:00,4.0,1.0,OFF
2020020072,2021-01-22,American Airlines Center,DAL,NSH,2021-01-23 01:30:00,7.0,0.0,OFF
2020020073,2021-01-22,Gila River Arena,ARI,VGK,2021-01-23 02:00:00,5.0,2.0,OFF
2020020074,2021-01-22,Honda Center,ANA,COL,2021-01-23 03:00:00,2.0,3.0,OFF
2020020077,2021-01-23,Nationwide Arena,CBJ,T.B,2021-01-23 19:00:00,5.0,2.0,OFF
2020020075,2021-01-23,TD Garden,BOS,PHI,2021-01-24 00:00:00,6.0,1.0,OFF
2020020080,2021-01-23,Rogers Arena,VAN,MTL,2021-01-24 00:00:00,2.0,5.0,OFF
2020020078,2021-01-23,Enterprise Center,STL,L.A,2021-01-24 01:00:00,4.0,2.0,OFF
2020020079,2021-01-23,Bell MTS Place,WPG,OTT,2021-01-24 03:00:00,6.0,3.0,OFF
2020020084,2021-01-24,United Center,CHI,DET,2021-01-24 17:30:00,6.0,2.0,OFF
2020020082,2021-01-24,Capital One Arena,WSH,BUF,2021-01-24 20:00:00,3.0,4.0,OFF
2020020087,2021-01-24,Scotiabank Saddledome,CGY,TOR,2021-01-24 21:00:00,2.0,3.0,OFF
2020020090,2021-01-24,Gila River Arena,ARI,VGK,2021-01-24 21:00:00,0.0,1.0,OFF
2020020081,2021-01-24,Prudential Center,N.J,NYI,2021-01-25 00:00:00,2.0,0.0,OFF
2020020083,2021-01-24,PPG Paints Arena,PIT,NYR,2021-01-25 00:00:00,3.0,2.0,OFF
2020020085,2021-01-24,Enterprise Center,STL,L.A,2021-01-25 01:00:00,3.0,6.0,OFF
2020020088,2021-01-24,Xcel Energy Center,MIN,S.J,2021-01-25 01:00:00,3.0,5.0,OFF
2020020089,2021-01-24,American Airlines Center,DAL,NSH,2021-01-25 01:00:00,3.0,2.0,OFF
2020020091,2021-01-24,Honda Center,ANA,COL,2021-01-25 01:00:00,3.0,1.0,OFF
2020020086,2021-01-24,Bell MTS Place,WPG,EDM,2021-01-25 02:00:00,3.0,4.0,OFF
2020020092,2021-01-25,Rogers Arena,VAN,OTT,2021-01-26 03:00:00,7.0,1.0,OFF
2020020093,2021-01-26,TD Garden,BOS,PIT,2021-01-27 00:00:00,3.0,2.0,OFF
2020020094,2021-01-26,KeyBank Center,BUF,NYR,2021-01-27 00:00:00,3.0,2.0,OFF
2020020095,2021-01-26,Prudential Center,N.J,PHI,2021-01-27 00:00:00,3.0,5.0,OFF
2020020096,2021-01-26,Capital One Arena,WSH,NYI,2021-01-27 00:00:00,3.0,2.0,OFF
2020020098,2021-01-26,Nationwide Arena,CBJ,FLA,2021-01-27 00:00:00,3.0,4.0,OFF
2020020099,2021-01-26,Bridgestone Arena,NSH,CHI,2021-01-27 01:00:00,3.0,2.0,OFF
2020020100,2021-01-26,Bell MTS Place,WPG,EDM,2021-01-27 01:00:00,6.0,4.0,OFF
2020020102,2021-01-26,Xcel Energy Center,MIN,L.A,2021-01-27 01:00:00,1.0,2.0,OFF
2020020103,2021-01-26,American Airlines Center,DAL,DET,2021-01-27 01:30:00,2.0,1.0,OFF
2020020101,2021-01-26,Scotiabank Saddledome,CGY,TOR,2021-01-27 02:00:00,3.0,4.0,OFF
